index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset,styha_g_h_gcat,ha_c2_fraction,co_conversion,selectivity_co2,selectivity_ch4,selectivity_meoh,selectivity_ha,xrf_zr,xrf_cu,xrf_co,xrf_fe
phase_1_seed-row022-exp22,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr],0.006127766730801117,1.0,260.0,50.0,2.0,24000.0,3,42.6,zenodo_11639494_phase_1_seed,0.1405669873467544,0.04359321378699665,0.20470268211229087,0.032703762263970454,0.2779698267657916,0.016701610661775106,0.08689867742030932,0.179,0.395,0.426,0.0
phase_1_seed-row023-exp23,[C-]#[O+],[H][H],CCO,[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.003602390515241766,1.0,260.0,50.0,2.0,24000.0,3,38.5,zenodo_11639494_phase_1_seed,0.07158093013147002,0.05032612049920824,0.0850855107839275,0.042744674384688916,0.323244658924087,0.021384593788125378,0.08540600114349405,0.385,0.305,0.31,0.0
phase_1_seed-row024-exp24,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu],0.007127317467509379,1.0,260.0,50.0,2.0,24000.0,2,67.8,zenodo_11639494_phase_1_seed,0.1615477887510525,0.04411894166185511,0.2621662188169074,0.1352379966320295,0.18357712572824184,0.034404805306043916,0.08144741359186868,0.0,0.322,0.0,0.6779999999999999
phase_1_seed-row025-exp25,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.010280980001741769,1.0,260.0,50.0,2.0,24000.0,3,63.800000000000004,zenodo_11639494_phase_1_seed,0.23970246873751708,0.042890588719800865,0.43297085054511725,0.2296962593915322,0.16083345764825774,0.04032824711293165,0.07378034066248247,0.063,0.299,0.0,0.638
phase_1_seed-row026-exp26,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr],0.014817152993205001,1.0,260.0,50.0,2.0,24000.0,3,56.99999999999999,zenodo_11639494_phase_1_seed,0.2384227497224196,0.06214655694750466,0.2918667089263824,0.17053944641809368,0.18367918828441426,0.07343030182883042,0.11072096285917518,0.183,0.247,0.0,0.57
phase_1_seed-row027-exp27,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co],0.01998937472232723,1.0,260.0,50.0,2.0,24000.0,2,78.0,zenodo_11639494_phase_1_seed,0.2548907766318657,0.07842329560318903,0.2647944446633721,0.11158362651417486,0.2542838163530375,0.06765787820088467,0.1317358195965692,0.0,0.0,0.22,0.78
phase_1_seed-row028-exp28,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr],0.02047827617714671,1.0,260.0,50.0,2.0,24000.0,3,74.2,zenodo_11639494_phase_1_seed,0.3041573051467388,0.06732791167802823,0.3535943171169814,0.17431284411878814,0.22524859745749462,0.055909072907783304,0.11915280732970099,0.057999999999999996,0.0,0.2,0.742
phase_1_seed-row029-exp29,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Zr].[Zr].[Zr].[Zr],0.02301900254073349,1.0,260.0,50.0,2.0,24000.0,3,62.1,zenodo_11639494_phase_1_seed,0.3214936044485533,0.07160018806662477,0.3714265350614446,0.1600577671093221,0.2053270438920459,0.058436671800745944,0.12665877192212932,0.20199999999999999,0.0,0.177,0.621
phase_1_seed-row030-exp30,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.010294173838220093,1.0,260.0,50.0,2.0,24000.0,3,44.2,zenodo_11639494_phase_1_seed,0.12169991165283944,0.08458653501397109,0.0837085410097425,0.08778545951055368,0.2707117318042231,0.09042412639579543,0.1425774169427494,0.43799999999999994,0.0,0.12,0.442
phase_1_seed-row031-exp31,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.0027580871746108867,1.0,260.0,50.0,2.0,24000.0,3,41.4,zenodo_11639494_phase_1_seed,0.06403755229699301,0.043069840674413114,0.10732005298778047,0.11653650762926317,0.23607418991633025,0.08280329437488518,0.07249446673919806,0.384,0.20199999999999999,0.0,0.414
