index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-376,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Zr],0.0486,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-377,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Zr],0.0498,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-378,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Zr],0.0498,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-379,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Zr],0.0549,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-380,O=C=O,[H][H],CO,[Cu].[Pd].[Zr],0.0353,1.0,249.85000000000002,41.0,3.0,3.66,3.0,50.0,themecat
themecat-381,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Ce],0.041,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-382,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Zr],0.0486,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-383,O=C=O,[H][H],CO,[Cu].[Pd].[Ce],0.024,1.0,249.85000000000002,41.0,3.0,3.66,3.0,50.0,themecat
themecat-384,O=C=O,[H][H],CO,[Cu].[Pd].[Ti],0.0274,1.0,249.85000000000002,41.0,3.0,3.66,3.0,50.0,themecat
themecat-385,O=C=O,[H][H],CO,[Cu].[Pd].[Ti].[Ce],0.0325,1.0,249.85000000000002,41.0,3.0,3.66,4.0,50.0,themecat
themecat-386,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.028,1.0,219.85000000000002,30.0,3.0,4.27,3.0,89.0,themecat
themecat-387,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0262,1.0,179.85000000000002,30.0,3.0,4.27,3.0,89.0,themecat
themecat-388,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0276,1.0,199.85000000000002,30.0,3.0,4.27,3.0,89.0,themecat
themecat-389,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0319,1.0,239.85000000000002,30.0,3.0,4.27,3.0,89.0,themecat
themecat-390,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.035,1.0,259.85,30.0,3.0,4.27,3.0,89.0,themecat
themecat-391,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0247,1.0,219.85000000000002,30.0,3.0,4.27,3.0,86.0,themecat
themecat-392,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0241,1.0,219.85000000000002,30.0,3.0,4.27,3.0,90.0,themecat
