index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
Phase 1-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Zr].[Zr],0.0269945180527727,1.0,260.0,50.0,2.0,24000.0,4,70.734575,zenodo_11639494_phase_1
Phase 1-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Zr].[Zr],0.024830713187735748,1.0,260.0,50.0,2.0,24000.0,4,80.66597999999999,zenodo_11639494_phase_1
Phase 1-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.030581695339576855,1.0,260.0,50.0,2.0,24000.0,4,68.67554999999999,zenodo_11639494_phase_1
Phase 1-1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.0038281320837995733,1.0,260.0,50.0,2.0,24000.0,4,43.98264,zenodo_11639494_phase_1
Phase 1-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.005266819726124957,1.0,260.0,50.0,2.0,24000.0,4,53.13673,zenodo_11639494_phase_1
Phase 1-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Zr].[Zr],0.019461895404678207,1.0,260.0,50.0,2.0,24000.0,4,56.66942,zenodo_11639494_phase_1
Phase 1-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Zr].[Zr],0.024183284735195397,1.0,260.0,50.0,2.0,24000.0,4,65.135495,zenodo_11639494_phase_1
Phase 1-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Cu].[Zr].[Zr],0.021206032561029264,1.0,260.0,50.0,2.0,24000.0,4,76.65126000000001,zenodo_11639494_phase_1
Phase 1-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.02892895010527333,1.0,260.0,50.0,2.0,24000.0,4,71.03198499999999,zenodo_11639494_phase_1
Phase 1-1,[C-]#[O+],[H][H],CCO,[Fe].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr],0.009139269559339098,1.0,260.0,50.0,2.0,24000.0,4,47.238295,zenodo_11639494_phase_1
